driver,x,price
Evening wind share,5.228260869565218,169.8773753572281
Evening wind share,9.25054347826087,162.42733834690017
Evening wind share,12.36530612244898,160.96498385079994
Evening wind share,14.88720930232558,152.0770287635727
Evening wind share,17.178804347826087,143.40595502527538
Evening wind share,20.734239130434784,133.23626366966278
Evening wind share,24.38858695652174,131.89277765283748
Evening wind share,29.75326086956522,91.66395313920859
Evening wind share,37.24293478260869,104.01910181822394
Evening wind share,47.30869565217391,65.02539366553967
Midday solar (to be lost),250.09420289855075,149.72450171601338
Midday solar (to be lost),339.0246376811594,133.04171604345242
Midday solar (to be lost),393.41449275362316,123.49636452113124
Midday solar (to be lost),431.831884057971,130.71224421657672
Midday solar (to be lost),485.24202898550726,135.08772222798837
Midday solar (to be lost),529.295652173913,109.54928417315266
Midday solar (to be lost),572.5855072463768,106.58971430775698
Midday solar (to be lost),608.9753623188406,104.6302762762744
Midday solar (to be lost),655.2333333333333,140.45121149733762
Midday solar (to be lost),732.6144927536232,181.8867855543841
Daily max temperature,13.714782608695652,89.60703786726289
Daily max temperature,15.356170212765958,101.83349834288738
Daily max temperature,16.28933333333333,105.06865608253969
Daily max temperature,17.035744680851064,118.18168679856458
Daily max temperature,17.619565217391305,127.48839441707136
Daily max temperature,18.303555555555555,115.86074627507375
Daily max temperature,19.07695652173913,134.2133161955419
Daily max temperature,20.04826086956522,161.36746555318973
Daily max temperature,21.73521739130435,167.1813393981084
Daily max temperature,25.05086956521739,194.387553891136
Evening |NIV|,48.63276025834757,121.67819606537837
Evening |NIV|,83.77928981729805,150.93909320928174
Evening |NIV|,112.16472697168525,177.57285760346812
Evening |NIV|,138.60190661272628,113.43827049397139
Evening |NIV|,169.79384358421387,100.74606635357749
Evening |NIV|,204.5788858931031,104.94345048277772
Evening |NIV|,240.34893974729027,114.8069115830721
Evening |NIV|,288.79825223317147,127.25652649516992
Evening |NIV|,365.9310255227204,129.22513896396137
Evening |NIV|,558.118390973097,174.5633092834096
